HCPC/MOD,ACTION CD,SHORT DESCRIPTION,LONG DESCRIPTION,
G9282,No Change,Doc medrsn no histo type,"Documentation of medical reason(s) for not reporting the histological type or nsclc-nos classification with an explanation (e.g., biopsy taken for other purposes in a patient with a history of non-small cell lung cancer or other documented medical reasons)",
G9283,No Change,Hist type doc on report,Non small cell lung cancer biopsy and cytology specimen report documents classification into specific histologic type or classified as nsclc-nos with an explanation,
G9284,No Change,No hist type doc on report,Non small cell lung cancer biopsy and cytology specimen report does not document classification into specific histologic type or classified as nsclc-nos with an explanation,
G9285,No Change,Site not small cell lung ca,Specimen site other than anatomic location of lung or is not classified as non small cell lung cancer,
G9286,No Change,Antibio rx w in 10d of sympt,Antibiotic regimen prescribed within 10 days after onset of symptoms,
G9287,No Change,No antibio w in 10d of sympt,Antibiotic regimen not prescribed within 10 days after onset of symptoms,
G9288,No Change,Doc medrsn no hist type rpt,"Documentation of medical reason(s) for not reporting the histological type or nsclc-nos classification with an explanation (e.g., a solitary fibrous tumor in a person with a history of non-small cell carcinoma or other documented medical reasons)",
G9289,No Change,Doc type nsm lung ca,Non small cell lung cancer biopsy and cytology specimen report documents classification into specific histologic type or classified as nsclc-nos with an explanation,
G9290,No Change,No doc type nsm lung ca,Non small cell lung cancer biopsy and cytology specimen report does not document classification into specific histologic type or classified as nsclc-nos with an explanation,
G9291,No Change,Not nsm lung ca,"Specimen site other than anatomic location of lung, is not classified as non small cell lung cancer or classified as nsclc-nos",
G9292,No Change,Medrsn no pt category,"Documentation of medical reason(s) for not reporting pt category and a statement on thickness and ulceration and for pt1, mitotic rate (e.g., negative skin biopsies in a patient with a history of melanoma or other documented medical reasons)",
G9293,No Change,No pt category on report,"Pathology report does not include the pt category and a statement on thickness and ulceration and for pt1, mitotic rate",
G9294,No Change,Pt cat and thck on report,"Pathology report includes the pt category and a statement on thickness and ulceration and for pt1, mitotic rate",
G9295,No Change,Non cutaneous loc,Specimen site other than anatomic cutaneous location,
G9296,No Change,Doc share dec prior proc,"Patients with documented shared decision-making including discussion of conservative (non-surgical) therapy (e.g., nsaids, analgesics, weight loss, exercise, injections) prior to the procedure",
G9297,No Change,No doc share dec prior proc,"Shared decision-making including discussion of conservative (non-surgical) therapy (e.g., nsaids, analgesics, weight loss, exercise, injections) prior to the procedure, not documented, reason not given",
G9298,No Change,Eval risk vte card 30d prior,"Patients who are evaluated for venous thromboembolic and cardiovascular risk factors within 30 days prior to the procedure (e.g., history of dvt, pe, mi, arrhythmia and stroke)",
G9299,No Change,No eval riskk vte card prior,"Patients who are not evaluated for venous thromboembolic and cardiovascular risk factors within 30 days prior to the procedure including (e.g., history of dvt, pe, mi, arrhythmia and stroke, reason not given)",
G9300,No Change,Doc medrsn no compl antibio,"Documentation of medical reason(s) for not completely infusing the prophylactic antibiotic prior to the inflation of the proximal tourniquet (e.g., a tourniquet was not used)",
G9301,No Change,Doc compl inf antibio,Patients who had the prophylactic antibiotic completely infused prior to the inflation of the proximal tourniquet,
G9302,No Change,Norsn incomp inf antibio,"Prophylactic antibiotic not completely infused prior to the inflation of the proximal tourniquet, reason not given",
G9303,No Change,Norsn no pros info op rpt,"Operative report does not identify the prosthetic implant specifications including the prosthetic implant manufacturer, the brand name of the prosthetic implant and the size of each prosthetic implant, reason not given",
G9304,No Change,Pros info op rpt,"Operative report identifies the prosthetic implant specifications including the prosthetic implant manufacturer, the brand name of the prosthetic implant and the size of each prosthetic implant",
G9305,No Change,No interv req for leak,Intervention for presence of leak of endoluminal contents through an anastomosis not required,
G9306,No Change,Interv req for leak,Intervention for presence of leak of endoluminal contents through an anastomosis required,
G9307,No Change,No ret for surg w in 30d,"No return to the operating room for a surgical procedure, for complications of the principal operative procedure, within 30 days of the principal operative procedure",
G9308,No Change,Unpl ret or w/compl w/in 30d,"Unplanned return to the operating room for a surgical procedure, for complications of the principal operative procedure, within 30 days of the principal operative procedure",
G9309,No Change,No unplnd hosp readm in 30d,No unplanned hospital readmission within 30 days of principal procedure,
G9310,No Change,Unplnd hosp readm in 30d,Unplanned hospital readmission within 30 days of principal procedure,
G9311,No Change,No surg site infection,No surgical site infection,
G9312,No Change,Surgical site infection,Surgical site infection,
G9313,No Change,Amoxic not presc as 1st line,"Amoxicillin, with or without clavulanate, not prescribed as first line antibiotic at the time of diagnosis for documented reason",
G9314,No Change,Norsn not first line amox,"Amoxicillin, with or without clavulanate, not prescribed as first line antibiotic at the time of diagnosis, reason not given",
G9315,No Change,Doc first line amox,"Documentation amoxicillin, with or without clavulanate, prescribed as a first line antibiotic at the time of diagnosis",
G9316,No Change,Doc comm risk calc,"Documentation of patient-specific risk assessment with a risk calculator based on multi-institutional clinical data, the specific risk calculator used, and communication of risk assessment from risk calculator with the patient or family",
G9317,No Change,No doc comm risk calc,"Documentation of patient-specific risk assessment with a risk calculator based on multi-institutional clinical data, the specific risk calculator used, and communication of risk assessment from risk calculator with the patient or family not completed",
G9318,No Change,Image std nomenclature,Imaging study named according to standardized nomenclature,
G9319,No Change,Image not std nomenclature,"Imaging study not named according to standardized nomenclature, reason not given",
G9320,No Change,Medrsn no std nomenclature,"Documentation of medical reason(s) for not naming ct studies according to a standardized nomenclature provided (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",
G9321,No Change,Doc count of ct in 12mo,Count of previous ct (any type of ct) and cardiac nuclear medicine (myocardial perfusion) studies documented in the 12-month period prior to the current study,
G9322,No Change,No doc count of ct in 12mo,"Count of previous ct and cardiac nuclear medicine (myocardial perfusion) studies not documented in the 12-month period prior to the current study, reason not given",
G9323,No Change,Mdrsn no doc cnt of ct,"Documentation of medical reason(s) for not counting previous ct and cardiac nuclear medicine (myocardial perfusion) studies (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",
G9324,No Change,Not all data norsn,"All necessary data elements not included, reason not given",
G9325,No Change,Medrsn no ct rpt to reg,"Ct studies not reported to a radiation dose index registry due to medical reasons (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",
G9326,No Change,"Ct done no rad ds index, nrg","Ct studies performed not reported to a radiation dose index registry that is capable of collecting at a minimum all necessary data elements, reason not given",
G9327,No Change,Ct done rad ds index,Ct studies performed reported to a radiation dose index registry that is capable of collecting at a minimum all necessary data elements,
G9328,No Change,Medrsn no dicom format doc,"Dicom format image data availability not documented in final report due to medical reasons (eg, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",
G9329,No Change,Norsn no dicom format doc,"Dicom format image data available to non-affiliated external healthcare facilities or entities on a secure, media free, reciprocally searchable basis with patient authorization for at least a 12-month period after the study not documented in final report, reason not given",
G9340,No Change,Dicom format doc on rpt,"Final report documented that dicom format image data available to non-affiliated external healthcare facilities or entities on a secure, media free, reciprocally searchable basis with patient authorization for at least a 12-month period after the study",
G9341,No Change,Srch for ct w in 12 mos,"Search conducted for prior patient ct studies completed at non-affiliated external healthcare facilities or entities within the past 12-months and are available through a secure, authorized, media-free, shared archive prior to an imaging study being performed",
G9342,No Change,No srch for ct in 12mo norsn,"Search not conducted prior to an imaging study being performed for prior patient ct studies completed at non-affiliated external healthcare facilities or entities within the past 12-months and are available through a secure, authorized, media-free, shared archive, reason not given",
G9343,No Change,Medrsn no dicom srch,"Due to medical reasons, search not conducted for dicom format images for prior patient ct imaging studies completed at non-affiliated external healthcare facilities or entities within the past 12 months that are available through a secure, authorized, media-free, shared archive (e.g., ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",
G9344,No Change,Sysrsn no dicom srch,"Due to system reasons search not conducted for dicom format images for prior patient ct imaging studies completed at non-affiliated external healthcare facilities or entities within the past 12 months that are available through a secure, authorized, media-free, shared archive (e.g., non-affiliated external healthcare facilities or entities does not have archival abilities through a shared archival system)",
G9345,No Change,Follow up pulm nod,"Follow-up recommendations documented according to recommended guidelines for incidentally detected pulmonary nodules (e.g., follow-up ct imaging studies needed or that no follow-up is needed) based at a minimum on nodule size and patient risk factors",
G9346,No Change,No follow up pulm nod,"Follow-up recommendations not documented according to recommended guidelines for incidentally detected pulmonary nodules due to medical reasons (e.g., patients with known malignant disease, patients with unexplained fever, ct studies performed for radiation treatment planning or image-guided radiation treatment delivery)",
G9347,No Change,No follow up pulm nod norsn,"Follow-up recommendations not documented according to recommended guidelines for incidentally detected pulmonary nodules, reason not given",
G9348,No Change,Doc rsn for ord ct scan,Ct scan of the paranasal sinuses ordered at the time of diagnosis for documented reasons,
G9349,Long Description Change,Ct within 28 days,Ct scan of the paranasal sinuses ordered at the time of diagnosis or received within 28 days after date of diagnosis,
G9350,No Change,No doc sinus ct 28d or dx,Ct scan of the paranasal sinuses not ordered at the time of diagnosis or received within 28 days after date of diagnosis,
G9351,No Change,Doc >1 sinus ct w 90d dx,More than one ct scan of the paranasal sinuses ordered or received within 90 days after diagnosis,
G9352,No Change,Not >1 sinus ct w 90d dx,"More than one ct scan of the paranasal sinuses ordered or received within 90 days after the date of diagnosis, reason not given",
G9353,No Change,Medrsn >1 sinus ct w 90d dx,"More than one ct scan of the paranasal sinuses ordered or received within 90 days after the date of diagnosis for documented reasons (eg, patients with complications, second ct obtained prior to surgery, other medical reasons)",
G9354,No Change,1 or no ct sinus w/in 90d dx,One ct scan or no ct scan of the paranasal sinuses ordered within 90 days after the date of diagnosis,
G9355,Long Description Change,No early ind/delivery,Early elective delivery or early induction not performed (less than 39 weeks gestation),
G9356,Long Description Change,Early ind/delivery,Early elective delivery or early induction performed (less than 39 week gestation),
G9357,No Change,Pp eval/edu perf,"Post-partum screenings, evaluations and education performed",
G9358,No Change,Pp eval/edu not perf,"Post-partum screenings, evaluations and education not performed",
G9359,Long Description Change,Neg mgd pos tb notact,Documentation of negative or managed positive tb screen with further evidence that tb is not active prior to the treatment with a biologic immune response modifier,
G9360,No Change,No doc of neg or man pos tb,No documentation of negative or managed positive tb screen,
G9361,No Change,Doc rsn elect c-sec/induct,"Medical indication for induction [documentation of reason(s) for elective delivery (c-section) or early induction (e.g., hemorrhage and placental complications, hypertension, preeclampsia and eclampsia, rupture of membranes-premature or prolonged, maternal conditions complicating pregnancy/delivery, fetal conditions complicating pregnancy/delivery, late pregnancy, prior uterine surgery, or participation in clinical trial)]",
G9362,No Change,Mac or pnb w/o genanes >60m,"Duration of monitored anesthesia care (mac) or peripheral nerve block (pnb) without the use of general anesthesia during an applicable procedure 60 minutes or longer, as documented in the anesthesia record",
G9363,No Change,Mac or pnb w/o genanes <60m,"Duration of monitored anesthesia care (mac) or peripheral nerve block (pnb) without the use of general anesthesia during an applicable procedure or general or neuraxial anesthesia less than 60 minutes, as documented in the anesthesia record",
G9364,No Change,Sinus caus bac inx,"Sinusitis caused by, or presumed to be caused by, bacterial infection",
G9365,No Change,1high risk med ord,One high-risk medication ordered,
G9366,No Change,1high risk no ord,One high-risk medication not ordered,
G9367,No Change,>= 2 same hi-rsk med ord,At least two orders for the same high-risk medication,
G9368,No Change,>= 2 same hi-rsk med not ord,At least two orders for the same high-risk medications not ordered,
G9369,No Change,Fill 2 rx antipsych,Individual filled at least two prescriptions for any antipsychotic medication and had a pdc of 0.8 or greater,
G9370,No Change,Not fill 2 rx antipsych,Individual who did not fill at least two prescriptions for any antipsychotic medication or did not have a pdc of 0.8 or greater,
G9376,No Change,Contd ret attach at 6mth f/u,Patient continued to have the retina attached at the 6 months follow up visit (+/- 1 month) following only one surgery,
G9377,No Change,No ret attach after 6mt,Patient did not have the retina attached after 6 months following only one surgery,
G9378,No Change,Contd ret attach f/u vis,Patient continued to have the retina attached at the 6 months follow up visit (+/- 1 month),
G9379,No Change,No acheive flat ret 6mth,Patient did not achieve flat retinas six months post surgery,
G9380,No Change,Off assis eol iss,Patient offered assistance with end of life issues during the measurement period,
G9381,No Change,Doc med reas no offer eol,"Documentation of medical reason(s) for not offering assistance with end of life issues (e.g., patient in hospice care, patient in terminal phase) during the measurement period",
G9382,No Change,No off assis eol,Patient not offered assistance with end of life issues during the measurement period,
G9383,No Change,Recd scrn hcv infec,Patient received screening for hcv infection within the 12 month reporting period,
G9384,No Change,Doc med rsn no hcv scrn,"Documentation of medical reason(s) for not receiving annual screening for hcv infection (e.g., decompensated cirrhosis indicating advanced disease [i.e., ascites, esophageal variceal bleeding, hepatic encephalopathy], hepatocellular carcinoma, waitlist for organ transplant, limited life expectancy, other medical reasons)",
G9385,No Change,Doc pt reas not rec hcv srn,"Documentation of patient reason(s) for not receiving annual screening for hcv infection (e.g., patient declined, other patient reasons)",
G9386,No Change,Scrn hcv infec not recd,"Screening for hcv infection not received within the 12 month reporting period, reason not given",
G9389,No Change,Unpln rup post cap,Unplanned rupture of the posterior capsule requiring vitrectomy during cataract surgery,
G9390,No Change,No unpln rup post cap,No unplanned rupture of the posterior capsule requiring vitrectomy during cataract surgery,
G9391,No Change,Achv refrac +1d,"Patient achieves refraction +-1 d for the eye that underwent cataract surgery, measured at the one month follow up visit",
G9392,No Change,Not achv refrac +1d,"Patient does not achieve refraction +-1 d for the eye that underwent cataract surgery, measured at the one month follow up visit",
G9393,No Change,Ini phq9 >9 remiss <5,Patient with an initial phq-9 score greater than nine who achieves remission at twelve months as demonstrated by a twelve month (+/- 30 days) phq-9 score of less than five,
G9394,No Change,"Dx bipol, death, nhres, hosp","Patient who had a diagnosis of bipolar disorder or personality disorder, death, permanent nursing home resident or receiving hospice or palliative care any time during the measurement or assessment period",
G9395,No Change,Ini phq9 >9 no remiss >=5,Patient with an initial phq-9 score greater than nine who did not achieve remission at twelve months as demonstrated by a twelve month (+/- 30 days) phq-9 score greater than or equal to five,
G9396,No Change,Ini phq9 >9 not assess,Patient with an initial phq-9 score greater than nine who was not assessed for remission at twelve months (+/- 30 days),
G9399,No Change,Doc disc tx choices,"Documentation in the patient record of a discussion between the physician/clinician and the patient that includes all of the following: treatment choices appropriate to genotype, risks and benefits, evidence of effectiveness, and patient preferences toward the outcome of the treatment",
G9400,No Change,Doc reas no disc tx opt,Documentation of medical or patient reason(s) for not discussing treatment options; medical reasons: patient is not a candidate for treatment due to advanced physical or mental health comorbidity (including active substance use); currently receiving antiviral treatment; successful antiviral treatment (with sustained virologic response) prior to reporting period; other documented medical reasons; patient reasons: patient unable or unwilling to participate in the discussion or other patient reasons,
G9401,No Change,No disc tx choices,"No documentation of a discussion in the patient record of a discussion between the physician or other qualfied healthcare professional and the patient that includes all of the following: treatment choices appropriate to genotype, risks and benefits, evidence of effectiveness, and patient preferences toward treatment",
G9402,No Change,Recd f/u w/in 30d disch,Patient received follow-up on the date of discharge or within 30 days after discharge,
G9403,No Change,Doc reas no 30 day f/u,"Clinician documented reason patient was not able to complete 30 day follow-up from acute inpatient setting discharge (e.g., patient death prior to follow-up visit, patient non-compliant for visit follow-up)",
G9404,No Change,No 30 day f/u,Patient did not receive follow-up on the date of discharge or within 30 days after discharge,
G9405,Long Description Change,Recd f/u w/in 7d dc,Patient received follow-up within 7 days after discharge,
G9406,No Change,Doc reas no 7d f/u,"Clinician documented reason patient was not able to complete 7 day follow-up from acute inpatient setting discharge (i.e patient death prior to follow-up visit, patient non-compliance for visit follow-up)",
G9407,No Change,No 7d f/u,Patient did not receive follow-up on or within 7 days after discharge,
G9408,No Change,Card tamp w/in 30d,Patients with cardiac tamponade and/or pericardiocentesis occurring within 30 days,
G9409,No Change,No card tamp e/in 30d,Patients without cardiac tamponade and/or pericardiocentesis occurring within 30 days,
G9410,No Change,Admit w/in 180d req remov,"Patient admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision",
G9411,No Change,No admit w/in 180d req remov,"Patient not admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision",
G9412,No Change,Admit w/in 180d req surg rev,"Patient admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision",
G9413,No Change,No admit req surg rev,"Patient not admitted within 180 days, status post cied implantation, replacement, or revision with an infection requiring device removal or surgical revision",
G9414,Long Description Change,1dose menig vac btwn 11 & 13,"Patient had one dose of meningococcal vaccine (serogroups a, c, w, y) on or between the patient's 11th and 13th birthdays",
G9415,No Change,No 1dose meni vac btwn 11&13,Patient did not have one dose of meningococcal vaccine on or between the patient's 11th and 13th birthdays,
G9416,No Change,Pt 1 tdap betw 10-13 yrs,"Patient had one tetanus, diphtheria toxoids and acellular pertussis vaccine (tdap) on or between the patient's 10th and 13th birthdays",
G9417,No Change,Pt not 1 tdap betw 10-13 yrs,"Patient did not have one tetanus, diphtheria toxoids and acellular pertussis vaccine (tdap) on or between the patient's 10th and 13th birthdays",
G9418,No Change,Lungcx bx rpt docs class,Primary non-small cell lung cancer biopsy and cytology specimen report documents classification into specific histologic type or classified as nsclc-nos with an explanation,
G9419,No Change,Med reas not incl histo type,"Documentation of medical reason(s) for not including the histological type or nsclc-nos classification with an explanation (e.g., biopsy taken for other purposes in a patient with a history of primary non-small cell lung cancer or other documented medical reasons)",
G9420,No Change,Spec site no lung,Specimen site other than anatomic location of lung or is not classified as primary non-small cell lung cancer,
G9421,No Change,Lung cx bx rpt no doc class,Primary non-small cell lung cancer biopsy and cytology specimen report does not document classification into specific histologic type or classified as nsclc-nos with an explanation,
G9422,No Change,Rpt doc class histo type,"Primary lung carcinoma resection report documents pt category, pn category and for non-small cell lung cancer, histologic type (squamous cell carcinoma, adenocarcinoma and not nsclc-nos)",
G9423,No Change,Med reas rpt no histo type,"Documentation of medical reason for not including pt category, pn category and histologic type [for patient with appropriate exclusion criteria (e.g., metastatic disease, benign tumors, malignant tumors other than carcinomas, inadequate surgical specimens)]",
G9424,No Change,Site no lung or lung cx,"Specimen site other than anatomic location of lung, or classified as nsclc-nos",
G9425,No Change,Spec rpt no doc class histo,"Primary lung carcinoma resection report does not document pt category, pn category and for non-small cell lung cancer, histologic type (squamous cell carcinoma, adenocarcinoma)",
G9426,No Change,Impr med time edarr pain med,Improvement in median time from ed arrival to initial ed oral or parenteral pain medication administration performed for ed admitted patients,
G9427,No Change,No impro med time pain med,Improvement in median time from ed arrival to initial ed oral or parenteral pain medication administration not performed for ed admitted patients,
G9428,No Change,Patho rpt incl pt ctg,"Pathology report includes the pt category and a statement on thickness, ulceration and mitotic rate",
G9429,No Change,Doc med rsn no pt cat,"Documentation of medical reason(s) for not including pt category and a statement on thickness,  ulceration and mitotic rate (e.g., negative skin biopsies in a patient with a history of melanoma or other documented medical reasons)",
G9430,No Change,Spec site no cutaneous,Specimen site other than anatomic cutaneous location,
G9431,No Change,Patho rpt no pt ctg,"Pathology report does not include the pt category and a statement on thickness, ulceration and mitotic rate",
G9432,No Change,Asth controlled,"Asthma well-controlled based on the act, c-act, acq, or ataq score and results documented",
G9433,No Change,"Death, nhres, hospice","Death, permanent nursing home resident or receiving hospice or palliative care any time during the measurement period",
G9434,No Change,Asth not controlled,"Asthma not well-controlled based on the act, c-act, acq, or ataq score, or specified asthma control tool not used, reason not given",
G9435,No Change,Asp presc disch,Aspirin prescribed at discharge,
G9436,No Change,Asp not presc doc reas,"Aspirin not prescribed for documented reasons (e.g., allergy, medical intolerance, history of bleed)",
G9437,No Change,Asp not presc disch,Aspirin not prescribed at discharge,
G9438,No Change,P2y inhib presc,P2y inhibitor prescribed at discharge,
G9439,No Change,P2y inhib not presc doc reas,"P2y inhibitor not prescribed for documented reasons (e.g., allergy, medical intolerance, history of bleed)",
G9440,No Change,P2y inhib not presc,P2y inhibitor not prescribed at discharge,
G9441,No Change,Statin presc disch,Statin prescribed at discharge,
G9442,No Change,Statin not presc doc reas,"Statin not prescribed for documented reasons (e.g., allergy, medical intolerance)",
G9443,No Change,Statin not presc disch,Statin not prescribed at discharge,
G9448,No Change,Born 1945-1965,Patients who were born in the years 1945?1965,
G9449,No Change,Hx bld transf b/f 1992,History of receiving blood transfusions prior to 1992,
G9450,No Change,Hx injec drug use,History of injection drug use,
G9451,No Change,1x scrn hcv infect,Patient received one-time screening for hcv infection,
G9452,No Change,Doc med reas no scrn hcv,"Documentation of medical reason(s) for not receiving one-time screening for hcv infection (e.g., decompensated cirrhosis indicating advanced disease [ie, ascites, esophageal variceal bleeding, hepatic encephalopathy], hepatocellular carcinoma, waitlist for organ transplant, limited life expectancy, other medical reasons)",
G9453,No Change,Pt reas no hcv infect,"Documentation of patient reason(s) for not receiving one-time screening for hcv infection (e.g., patient declined, other patient reasons)",
G9454,No Change,No scr hcv inf 12 mth rp,"One-time screening for hcv infection not received within 12-month reporting period and no documentation of prior screening for hcv infection, reason not given",
G9455,No Change,"Abd imag w/us, ct or mri","Patient underwent abdominal imaging with ultrasound, contrast enhanced ct or contrast mri for hcc",
G9456,No Change,Doc med pt reas no hcc scrn,"Documentation of medical or patient reason(s) for not ordering or performing screening for hcc. medical reason: comorbid medical conditions with expected survival < 5 years, hepatic decompensation and not a candidate for liver transplantation, or other medical reasons; patient reasons: patient declined or other patient reasons (e.g., cost of tests, time related to accessing testing equipment)",
G9457,No Change,Pt no abd img no doc rsn,Patient did not undergo abdominal imaging and did not have a documented reason for not undergoing abdominal imaging in the submission period,
G9458,No Change,Tob user recd cess interv,"Patient documented as tobacco user and received tobacco cessation intervention (must include at least one of the following: advice given to quit smoking or tobacco use, counseling on the benefits of quitting smoking or tobacco use, assistance with or referral to external smoking or tobacco cessation support programs, or current enrollment in smoking or tobacco use cessation program) if identified as a tobacco user",
G9459,No Change,Tob non-user,Currently a tobacco non-user,
G9460,No Change,No tob assess or cess inter,"Tobacco assessment or tobacco cessation intervention not performed, reason not given",
G9463,No Change,Sinusitis intent,I intend to report the sinusitis measures group,
G9464,No Change,Sinusitis comp,All quality actions for the applicable measures in the sinusitis measures group have been performed for this patient,
G9465,No Change,Aoe intent,I intend to report the acute otitis externa (aoe) measures group,
G9466,No Change,Aoe comp,All quality actions for the applicable measures in the aoe measures group have been performed for this patient,
G9467,No Change,Recd cortico >=10mg/day >60d,Patient who have received or are receiving corticosteroids greater than or equal to 10 mg/day of prednisone equivalents for 60 or greater consecutive days or a single prescription equating to 600 mg prednisone or greater for all fills within the last twelve months,
G9468,No Change,No recd cortico>=10mg/d >60d,Patient not receiving corticosteroids greater than or equal to 10 mg/day of prednisone equivalents for 60 or greater consecutive days or a single prescription equating to 600 mg prednisone or greater for all fills,
G9469,Long Description Change,Rec cortico>90d or 1rx 900mg,Patients who have received or are receiving corticosteroids greater than or equal to 10 mg/day of prednisone equivalents for 90 or greater consecutive days or a single prescription equating to 900 mg prednisone or greater for all fills,
G9470,No Change,No rec cortico>60d 1rx 600mg,Patients not receiving corticosteroids greater than or equal to 10 mg/day of prednisone equivalents for 60 or greater consecutive days or a single prescription equating to 600 mg prednisone or greater for all fills,
G9471,No Change,W/in 2yr dxa not order,"Within the past 2 years, central dual-energy x-ray absorptiometry (dxa) not ordered or documented",
G9472,Discontinued,No dxa no med hx no rv sx,"Within the past 2 years, central dual-energy x-ray absorptiometry (dxa) not ordered and documented, no review of systems and no medication history or pharmacologic therapy (other than minerals/vitamins) for osteoporosis prescribed",
G9473,No Change,Chap services at hospice,"Services performed by chaplain in the hospice setting, each 15 minutes",
G9474,No Change,Diet counsel at hospice,"Services performed by dietary counselor in the hospice setting, each 15 minutes",
G9475,No Change,Other counselor at hospice,"Services performed by other counselor in the hospice setting, each 15 minutes",
G9476,No Change,Volun service at hospice,"Services performed by volunteer in the hospice setting, each 15 minutes",
G9477,No Change,Care coord at hospice,"Services performed by care coordinator in the hospice setting, each 15 minutes",
G9478,No Change,Othe therapist at hospice,"Services performed by other qualified therapist in the hospice setting, each 15 minutes",
G9479,No Change,Pharmacist at hospice,"Services performed by qualified pharmacist in the hospice setting, each 15 minutes",
G9480,No Change,Admission to mccm,Admission to medicare care choice model program (mccm),
G9481,No Change,Remote e/m new pt 10mins,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a problem focused history;  a problem focused examination; and straightforward medical decision making, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both. usually, the presenting problem(s) are self limited or minor.  typically, 10 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",
G9482,No Change,Remote e/m new pt 20mins,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: an expanded problem focused history; an expanded problem focused examination;  straightforward medical decision making, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of low to moderate severity.  typically, 20 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",
G9483,No Change,Remote e/m new pt 30mins,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a detailed history; a detailed examination; medical decision making of low complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate severity.  typically, 30 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",
G9484,No Change,Remote e/m new pt 45mins,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a comprehensive history; a comprehensive examination; medical decision making of moderate complexity, furnished in real time using interactive audio and video technology. counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 45 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",
G9485,No Change,Remote e/m new pt 60mins,"Remote in-home visit for the evaluation and management of a new patient for use only in a medicare-approved cms innovation center demonstration project, which requires these 3 key components: a comprehensive history; a comprehensive examination; medical decision making of high complexity, furnished in real time using interactive audio and video technology. counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 60 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",
G9486,No Change,Remote e/m est. pt 10mins,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: a problem focused history; a problem focused examination; straightforward medical decision making, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are self limited or minor.  typically, 10 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",
G9487,No Change,Remote e/m est. pt 15mins,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: an expanded problem focused history; an expanded problem focused examination; medical decision making of low complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of low to moderate severity.  typically, 15 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",
G9488,No Change,Remote e/m est. pt 25mins,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved cms innovation center demonstration project, which requires at least 2 of the following 3 key components: a detailed history; a detailed examination; medical decision making of moderate complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 25 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",
